Category,Expressways/Highways,EV Charging Stations Sanctioned
Expressways,Mumbai - Pune,10
Expressways,Ahmadabad - Vadodara,10
Expressways,Delhi Agra Yamuna,20
Expressways,Bengaluru Mysore,14
Expressways,Bangaluru-Chennai,30
Expressways,Surat-Mumbai,30
Expressways,Agra-Lucknow,40
Expressways,Eastern Peripheral (A),14
Expressways,Hyderabad ORR,16
Highways,Delhi - Srinagar,80
Highways,Delhi – Kolkata,160
Highways,Agra - Nagpur,80
Highways,Meerut to GangotriDham,44
Highways,Mumbai - Delhi,124
Highways,Mumbai-Panaji,60
Highways,Mumbai - Nagpur,70
Highways,Mumbai - Bengaluru,100
Highways,Kolkata - Bhubaneswar,44
Highways,Kolkata - Nagpur,120
Highways,Kolkata - Gangtok,76
Highways,Chennai-Bhubaneswar,120
Highways,Chennai - Trivendram,74
Highways,Chennai-Ballary,62
Highways,Chennai - Nagpur,114
Highways,Mangaldai - Wakro,64
Total,Total,1576
